[simplemethods:2089]    classlist:   1,275.96 ms,  0.96 GB
[simplemethods:2089]        (cap):     517.70 ms,  0.96 GB
[simplemethods:2089]        setup:   1,626.69 ms,  0.96 GB
<init>, java.lang.ArrayStoreException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.ArrayIndexOutOfBoundsException
<init>, java.lang.IndexOutOfBoundsException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.IndexOutOfBoundsException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
autoflush, com.oracle.svm.core.log.RealLog
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
printDiagnostics, com.oracle.svm.core.SubstrateUtil
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
initialSizeEncoding, com.oracle.svm.core.code.CodeInfoDecoder
getU1, com.oracle.svm.core.util.ByteArrayReader
getU1, com.oracle.svm.core.util.ByteArrayReader
getU1, com.oracle.svm.core.util.ByteArrayReader
getSourcePC, com.oracle.svm.core.deopt.DeoptimizedFrame
lookupCodeInfo, com.oracle.svm.core.code.CodeInfoAccess
getName, com.oracle.svm.core.thread.VMOperation
coder, java.lang.String
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
<init>, java.lang.StackOverflowError
<init>, java.lang.VirtualMachineError
<init>, java.lang.Error
<init>, java.lang.Error
<init>, java.lang.VirtualMachineError
<init>, java.lang.Error
getGCImpl, com.oracle.svm.core.genscavenge.HeapImpl
possibleCollectionPrologue, com.oracle.svm.core.genscavenge.GCImpl
getCollectionEpoch, com.oracle.svm.core.genscavenge.GCImpl
getGCImpl, com.oracle.svm.core.genscavenge.HeapImpl
runSlowPathHooks, com.oracle.svm.core.genscavenge.ThreadLocalAllocation
string, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
hex, com.oracle.svm.core.log.Log$NoopLog
newline, com.oracle.svm.core.log.Log$NoopLog
getHeapPolicy, com.oracle.svm.core.genscavenge.HeapImpl
getCollectOnAllocationPolicy, com.oracle.svm.core.genscavenge.HeapPolicy
string, com.oracle.svm.core.log.Log$NoopLog
object, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
hex, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
newline, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
getGCImpl, com.oracle.svm.core.genscavenge.HeapImpl
getCollectionEpoch, com.oracle.svm.core.genscavenge.GCImpl
getYoungUsedBytes, com.oracle.svm.core.genscavenge.HeapPolicy
getCollectionEpoch, com.oracle.svm.core.genscavenge.GCImpl
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.InstantiationException
<init>, java.lang.ReflectiveOperationException
<init>, java.lang.Exception
isInstantiated, java.lang.Class
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
<init>, java.lang.IllegalArgumentException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.Exception
<init>, java.lang.ReflectiveOperationException
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.NegativeArraySizeException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
getGCImpl, com.oracle.svm.core.genscavenge.HeapImpl
possibleCollectionPrologue, com.oracle.svm.core.genscavenge.GCImpl
getCollectionEpoch, com.oracle.svm.core.genscavenge.GCImpl
getGCImpl, com.oracle.svm.core.genscavenge.HeapImpl
runSlowPathHooks, com.oracle.svm.core.genscavenge.ThreadLocalAllocation
string, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
signed, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
hex, com.oracle.svm.core.log.Log$NoopLog
newline, com.oracle.svm.core.log.Log$NoopLog
getHeapPolicy, com.oracle.svm.core.genscavenge.HeapImpl
getCollectOnAllocationPolicy, com.oracle.svm.core.genscavenge.HeapPolicy
string, com.oracle.svm.core.log.Log$NoopLog
object, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
hex, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
newline, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
unsigned, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
unsigned, com.oracle.svm.core.log.Log$NoopLog
string, com.oracle.svm.core.log.Log$NoopLog
newline, com.oracle.svm.core.log.Log$NoopLog
getValue, com.oracle.svm.core.option.RuntimeOptionKey
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.IllegalArgumentException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
getArrayHub, java.lang.Class
getArrayHub, java.lang.Class
isInstantiated, java.lang.Class
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
<init>, java.lang.IllegalArgumentException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
isEnabled, com.oracle.svm.core.log.RealLog
<init>, java.io.PrintWriter
getComponentHub, java.lang.Class
getComponentHub, java.lang.Class
getAndSet, java.util.concurrent.atomic.AtomicReference
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
getUnsafe, org.graalvm.compiler.serviceprovider.GraalUnsafeAccess
getReferenceMapIndex, java.lang.Class
getComponentHub, java.lang.Class
getUnsafe, org.graalvm.compiler.serviceprovider.GraalUnsafeAccess
ensureJavaThread, com.oracle.svm.core.thread.JavaThreads
getThreadGroup, java.lang.Thread
isDaemon, java.lang.Thread
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
string, com.oracle.svm.core.log.RealLog
rawString, com.oracle.svm.core.log.RealLog
length, java.lang.String
coder, java.lang.String
<init>, java.lang.ArithmeticException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.ArrayStoreException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.ClassCastException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.ArrayIndexOutOfBoundsException
<init>, java.lang.IndexOutOfBoundsException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.lang.NullPointerException
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, com.oracle.svm.core.jdk.UnsupportedFeatureError
